amount,commission,investment_id|account_id|liability_id,isin,netCash,operationDate,originalCurrency,referenceCurrency,retention,symb,type,unitPrice,valueDate,_id
"2581,88",,b847fdfa2341b292c9dcbfe3694830165f3c13f0d2666341a4124e7f60fe4c1f,,,2023-10-03,,,,,"Deposit of dividends, coupons and other",0,2023-09-28,816226f21549ff5dce823828b9dac29a07541cefe95717b8ba3cfd148d55e8fd
8935,"-441,9647138054",7e227fdb64ffb6642479782db8c13bc3d45969f8aa62f6abb6a38e2e358bb95f,DE0005933964,"11930,9500643887",2023-06-15,CHF,EUR,"-2798,6123767696",+,Dividends,"1,6496995232",2023-06-15,b87e8f9515cf5ee4d8cce9a70c6900a08d7eb1a4da835a690fb8c45ebe0a49d3
19075,0,3dedb3da22e02a94b8cb6e89317fb883a3893a710bc81b0f515bb3164dd82055,ES0148396007,"7184,59875",2022-11-02,EUR,EUR,"-1685,27625",+,Miscellaneous,"0,465",2022-11-02,96ba5ff8e204f86565cc17ad10d229627939ee8f3dbbabbf7e2f9efd61ae0731
19075,0,3dedb3da22e02a94b8cb6e89317fb883a3893a710bc81b0f515bb3164dd82055,ES0148396007,"9270,45",2023-05-02,EUR,EUR,"-2174,55",+,Miscellaneous,"0,6",2023-05-02,0c076b669a33510dbb70808664e97831fd3840384a72ec950326c809f10680b0
1880,0,92c4dfe3a45165dae6e6ebd6e79053e85226eba30b1d8151e048104084d7007d,US67066G1040,"42,64",2022-12-22,USD,EUR,"-32,56",+,Dividends,"0,04",2022-12-22,8d737d6daf1ca01004472a84fe66f2244426f029d15b33386be1b2f3a01df97f
1880,0,92c4dfe3a45165dae6e6ebd6e79053e85226eba30b1d8151e048104084d7007d,US67066G1040,"42,64",2023-03-29,USD,EUR,"-32,56",+,Dividends,"0,04",2023-03-29,90bd25e07206d276c91b80c7b98cafd9633762067c077160b6c7ecdee11186df
940,"-419,2",92c4dfe3a45165dae6e6ebd6e79053e85226eba30b1d8151e048104084d7007d,US67066G1040,277567,2023-05-17,USD,EUR,,-,Sell,"295,73",2023-05-17,b091910e8368681317cdb5287ea9852cb15f8927dbd9aa37ea18760a78fb82b9
940,0,92c4dfe3a45165dae6e6ebd6e79053e85226eba30b1d8151e048104084d7007d,US67066G1040,"21,32",2023-06-30,USD,EUR,"-16,28",+,Dividends,"0,04",2023-06-30,3c73ee1eb189af2bd70dad8af0e2f87de7eabbd93d0ffa6518c7b512122d6e12
940,0,92c4dfe3a45165dae6e6ebd6e79053e85226eba30b1d8151e048104084d7007d,US67066G1040,"25,89",2023-09-28,USD,EUR,"-11,7",+,Dividends,"0,04",2023-09-28,df23fb1b1ff97318a91c3dce1329313cc5c74aa39476d04dcf9dfb4493db1404
17500,0,f2746e26e08843f317214dbebd995d7c16004645a7592833e8668793ba588969,FR0000133308,"3189,37",2022-12-07,EUR,EUR,"-2060,63",+,Dividends,"0,3",2022-12-07,1fc43848779a04c40ca720245b235f6223124a4b96c9ad273a60c1f8a0a25612
17500,"-254,7",f2746e26e08843f317214dbebd995d7c16004645a7592833e8668793ba588969,FR0000133308,"169548,48",2023-01-17,EUR,EUR,,-,Sell,"9,7030388571",2023-01-17,30688a0d8512154804e778e9974860ecbf4fcbcbbf4736ef25f152f628530102
12800,"-606,93",d4b2ca1911f8e874ed208e3b4cdf5e5fe4a4da31783b5e980242a8b922de626c,FR0000120404,"404015,28",2023-05-17,EUR,EUR,,-,Sell,"31,6111101563",2023-05-17,c33f34c8cf5c577438c8a44faad19390a58be785dbb3e9e52babd82d23681c41
1,"-74,35",b49577ea8a976850228fbc2421081f44a8e5172b33f03bb13cea14373423f696,XS1649192934,"2478,41",2023-01-19,EUR,EUR,0,+,Coupons,4000,2023-01-19,ade42513fcacb7369e5518e71e7fafaa0baec429ba8ba2da2c4a4d8e4d09eb5d
6200,0,f4cc6821e63c264df09362b1322fd0f4054749348aeeee331b79ba07edcadbd7,BE0974293251,"2636,55",2023-05-05,EUR,EUR,"-2013,45",+,Dividends,"0,75",2023-05-05,5ade627bbbae8a8d19fadece1e859cb403928a911a94fe8501b8d0bb9364d8b9
6200,"-510,31",f4cc6821e63c264df09362b1322fd0f4054749348aeeee331b79ba07edcadbd7,BE0974293251,"339698,85",2023-05-17,EUR,EUR,,-,Sell,"54,8724451613",2023-05-17,527818b7a4f9532f9f59179a4a4f0ee3678adce563bc86b37f28c12322e537f3
2500,0,da93983b7568b41b806b508fa263d3947da0b1d8e1cd29157af75a67fbcad6c1,DK0060534915,"12047,74",2023-03-28,DKK,EUR,"-8327,26",+,Dividends,"8,15",2023-03-28,0041d236e66cb87d59b4eb943719cdd100b958f5190237c49f898e268ddcc37f
1000,"-1747,91",da93983b7568b41b806b508fa263d3947da0b1d8e1cd29157af75a67fbcad6c1,DK0060534915,"1163526,89",2023-05-17,DKK,EUR,,-,Sell,"1165,2748",2023-05-17,208eb28caa64b287edd34bbd310a78083b214f638a6d0264dc7d6a3f6c9e8213
1500,0,da93983b7568b41b806b508fa263d3947da0b1d8e1cd29157af75a67fbcad6c1,DK0060534915,"5321,7",2023-08-22,DKK,EUR,"-3678,3",+,Dividends,6,2023-08-22,00b85f1a72d7cb4ac98e5388a698411f70c3438d237ddbf5478e2fd717e40b4a
3000,0,c73f2d20c3d60712bbba5b0b799939c40ee8c6a79b892d32d719dba647a4d3ae,DE0007164600,"3667,63",2023-05-16,EUR,EUR,"-2482,37",+,Dividends,"2,05",2023-05-16,82b6d31e98d01473f1f034abe7479bc2a7edd8ea101c8f2f7c7691b8cd5f9487
20550,"-29,6832345196",e86c14f41d6f00f60b81f94114717e52440a9350e14dfbf5ec78695810163a0a,IE0005042456,"801,4384951041",2022-12-30,GBP,EUR,"-187,9967642664",+,Dividends,"0,0481486779",2022-12-30,8a64eb0d6e57fe2e9a781b9ace2b96c27ba177bfe0389638ea2c3d493bc78479
20550,"-25,4897515416",e86c14f41d6f00f60b81f94114717e52440a9350e14dfbf5ec78695810163a0a,IE0005042456,"688,3550897179",2023-03-29,GBP,EUR,"-161,4614527157",+,Dividends,"0,0413711658",2023-03-29,4c9373a34394e3733b83c0c97b0b5cf9e5ca9f65bd6252866fdb7926b8a298c6
20550,"-62,040070794",e86c14f41d6f00f60b81f94114717e52440a9350e14dfbf5ec78695810163a0a,IE0005042456,"1674,7812048209",2023-06-28,GBP,EUR,"-392,8517154209",+,Dividends,"0,1006225486",2023-06-28,e240a71398ff70b2ae5da8acfeebfef32825948376df7ea2745be9943e60c41c
20550,"-50,20319304",e86c14f41d6f00f60b81f94114717e52440a9350e14dfbf5ec78695810163a0a,IE0005042456,"1355,50358944",2023-09-27,GBP,EUR,"-317,9622446",+,Dividends,"0,0815234173",2023-09-27,a4f015f07c6bd531762eab9abb1f5b9c73349d4c50a910d8de24a17cabcb0f16
3350,"-1056,51",04c28c26923f164ae2468cc2ff9690528a7ca7664b9865280605600233602c70,LU1681048630,"703281,23",2023-05-17,EUR,EUR,,-,ETF - Sell,"210,2500716418",2023-05-17,73ad2725972a325a7ef5f96ad50eda5937a5c322e8abec2ad4438ef62da7a687
2925,0,a2e3e0b5455473a38f797f0db4eefd00ec84bf590c05f6b5f350629e86d83809,US00206R1023,"460,23",2022-11-01,USD,EUR,"-351,45",+,Dividends,"0,2774",2022-11-01,8d244fa26f80c1532b638c81eacbd55cc2d0dd7ddee948ca03d324d1d4086006
2925,"-87,09",a2e3e0b5455473a38f797f0db4eefd00ec84bf590c05f6b5f350629e86d83809,US00206R1023,"57096,66",2023-01-17,USD,EUR,,-,Sell,"19,55",2023-01-17,62a6a788bf6cb26b2044ec24a812aae084b211cee076b1bcc4db1be73325a73d
2925,"-32,73",a2e3e0b5455473a38f797f0db4eefd00ec84bf590c05f6b5f350629e86d83809,US00206R1023,"420,63",2023-02-01,USD,EUR,"-351,45",+,Dividends,"0,2774",2023-02-01,942c339b52d1df2413e821913f2c1aacbeaae56b9466df51b3e80634df88720a
1100,"-175,02",234bd34f1a66e67202a212c70ab01f49eff52aff6916b9abad925b79679abfc6,US0090661010,"116852,02",2023-05-17,USD,EUR,,+,Buy,"106,07",2023-05-17,a45131fe560fef0c8afc10c4739a734653afcde5413d46eb3ea6dd57d7426f6e
550,"-95,49",234bd34f1a66e67202a212c70ab01f49eff52aff6916b9abad925b79679abfc6,US0090661010,"63757,99",2023-06-06,USD,EUR,,+,Buy,"115,75",2023-06-06,b3f2e2e846bba304c13b3992ab2325f7f467a92399f13268cb81c30ef3aa2ca6
7400,"-414,21",2a9f0f4f555684103a2dbf3a71ac388d8ecf24dbcccd8ee6ae0f2752900067dc,FR0000131906,"275724,29",2023-01-17,EUR,EUR,,-,Sell,"37,3160135135",2023-01-17,ba607645560a2280cdf6672215ef6d647394e51caccd8543fd7309fcba6492ef
125,"-242,84",d0912ef97fe525ba301df403ac8e4d69f3a694e5c8d0cbff348b8942ca8e71a8,US58733R1023,"160788,41",2023-05-17,USD,EUR,,-,Sell,"1288,25",2023-05-17,f4bd9fb999671ad9dd2180aa957ca725bdff82c687d2efe5a9f9a2d170bde88f
7,"-451,5",a5e830a96c944636e0e72e2f6c10586224ad30eaff33d1b1b4776a42355573db,FR0011401751,"37078,68",2023-01-30,EUR,EUR,0,+,Coupons,5375,2023-01-30,3b9f4524a3030ab23b376aa1e5b16b73c66cbc259dff7a1214603c6aaec4c55f
6276,0,f13e765a735b5bfa09db18748f9dd620a39ddc0cee7d81b227ef5bfd480fa65b,US4581401001,"1298,85",2022-12-01,USD,EUR,"-991,89",+,Dividends,"0,365",2022-12-01,7720bcb431622a489f0d111bda8569936c49a38b590c7186700d5ab0e1e81fad
6276,"-31,98",f13e765a735b5bfa09db18748f9dd620a39ddc0cee7d81b227ef5bfd480fa65b,US4581401001,"1260,15",2023-03-01,USD,EUR,"-991,89",+,Dividends,"0,365",2023-03-01,d92160f9749a45e0144f8e5734213c56e7daa6990e0e7d9c1bc8b8f191ebc164
6276,0,f13e765a735b5bfa09db18748f9dd620a39ddc0cee7d81b227ef5bfd480fa65b,US4581401001,"444,81",2023-06-01,USD,EUR,"-339,69",+,Dividends,"0,125",2023-06-01,2fd97d9e12de946783841e7f09e54af30270745d8214b3e7ff7b64d1ab3ab293
6276,0,f13e765a735b5bfa09db18748f9dd620a39ddc0cee7d81b227ef5bfd480fa65b,US4581401001,"540,13",2023-09-01,USD,EUR,"-244,37",+,Dividends,"0,125",2023-09-01,d66492ef0b90c3002d55991081ddaf7f1e15c65984a52a54e895ad4c2d411296
200,0,4361c7975a1c6065b448aaa30c22a91526bb165ebb991c388da3eeafc1102000,US96122UAA25,"4088,9041305455",2023-03-21,GBP,EUR,0,+,Coupons,"20,4445206527",2023-03-21,f0c9777cf21954eba6d5dcf04e77518a92fe94b73cb30d6a1b631e1b2d0169a4
200,0,4361c7975a1c6065b448aaa30c22a91526bb165ebb991c388da3eeafc1102000,US96122UAA25,"4040,585",2023-09-21,GBP,EUR,0,+,Coupons,"20,202925",2023-09-21,9dec1d5aa56871dfa61442a692cc54078e46a67074e42ab7bc2c8aa9cdbae876
300,0,b8c17578cb4b91422466f43dffa6a38a3c475e8430c443f2951abc03c19800f8,US459200AP64,"7481,25",2022-12-01,USD,EUR,"-3206,25",+,Coupons,"35,625",2022-12-01,d9a5760fe27ff2a13c52647c2aa63633a965f8ce53492152aad1be4484a23834
300,0,b8c17578cb4b91422466f43dffa6a38a3c475e8430c443f2951abc03c19800f8,US459200AP64,"7481,25",2023-06-01,USD,EUR,"-3206,25",+,Coupons,"35,625",2023-06-01,7d422a2d28830d2f178d3982d29e377e8edbfd928b85333bdd413d4d3ff2ece8
300,0,ed4b56d4ce55c14fb91d6bd3dab6c962049d78947e0e612ae3aded162597223e,US68389XBQ79,4200,2022-11-15,USD,EUR,-1800,+,Coupons,20,2022-11-15,debd9962b2db995ffcd34084f067efc1d5ad72ac0e50cd1274189d622a64a3e8
300,0,ed4b56d4ce55c14fb91d6bd3dab6c962049d78947e0e612ae3aded162597223e,US68389XBQ79,4200,2023-05-15,USD,EUR,-1800,+,Coupons,20,2023-05-15,ebf8873d58e8c4849f732ca6088a7cfcc468683448d25dcc0c5976a2cc1844b1
300,0,4d48fe72cfc72dca40028c233c7e057b96db3cd31060d99100c8bf57207715b4,US68389XBT19,2625,2023-04-03,USD,EUR,-1125,+,Coupons,"12,5",2023-04-03,583c63d0de5ccb97648bf94de1374e8c85b759f5a49c1d5b09849af9d1c7145d
300,0,4d48fe72cfc72dca40028c233c7e057b96db3cd31060d99100c8bf57207715b4,US68389XBT19,3750,2023-10-02,USD,EUR,0,+,Coupons,"12,5",2023-10-02,5cc54731760ce1e4debbef238cab311be87b0ddfc1f1f43672c6a78c668101c6
300,"-32,39",4f805ce55c8a507c0109cd4f011bc8312342ba4bcf7f8fed76387af192295a37,US097023DG73,"2266,61",2023-02-06,USD,EUR,"-988,2",+,Coupons,"10,98",2023-02-06,06844025cc90c154971533d6de30d2a6d8771345a446ec854dccd7cb615a0561
300,0,4f805ce55c8a507c0109cd4f011bc8312342ba4bcf7f8fed76387af192295a37,US097023DG73,3294,2023-08-04,USD,EUR,0,+,Coupons,"10,98",2023-08-04,ff28fe4da09f489750f7304a37299a7d623d4d0928f2c796ef44efdcffb3f0e1
708,"-14,08",fbdcdad8cf97f17850b4da111bd1ddced203b4a1b56f2fd9ef39d3d7eb517fe0,US9344231041,"9232,4",2023-01-17,USD,EUR,,-,Sell,"13,06",2023-01-17,821a70d3e225a501c84e43896901053f7facf7e541ce4d5d447c4378281da436
1000,0,9be3daedeeb605bdbd28eda0d4b200382cfed49c5c5bba162da90b378ee986f6,FR0011149590,"4033,39",2023-04-28,EUR,EUR,"-2566,6",+,Dividends,"6,6",2023-04-28,7f95772c4c315a78318d9d1054f59145805b037b79d58c35d780c82b9dfc4c34
300,0,8d7f3fd6a187f7231b5b0ccab8d07a7728e0d8eebb48680525f98d472255ba27,US42824CAY57,"6667,5",2022-10-17,USD,EUR,"-2857,5",+,Coupons,"31,75",2022-10-17,ead71ed03a2f5db8be06fe780714e84725ae71655535e4e51195dbf7686c6e5d
300,0,8d7f3fd6a187f7231b5b0ccab8d07a7728e0d8eebb48680525f98d472255ba27,US42824CAY57,"6667,5",2023-04-17,USD,EUR,"-2857,5",+,Coupons,"31,75",2023-04-17,686306b37c7b1b443e98dc380544d21dd8d785e90b825b8b95c5e444f09e6c0f
4,0,78dbeb26c4b43a7c06327afae5d0ee9fb1389338953528327388e51c9e220a65,XS1693822634,9500,2023-03-22,EUR,EUR,0,+,Coupons,2375,2023-03-22,a164935af248206229252ddc9d42d76c63e69eb470aa60840585bfe648e38e72
4,0,78dbeb26c4b43a7c06327afae5d0ee9fb1389338953528327388e51c9e220a65,XS1693822634,9500,2023-09-22,EUR,EUR,0,+,Coupons,2375,2023-09-22,83a8157aab65108cf929a43be68e2aedeac65f397ed7d6ed6df9a2ef8da6e992
500000,-500,c91fd50747cfcf7788177b7a21ac125f2f9423faf5a90674c6f0e22eca12ddad,XS1218289103,"372465,75",2023-02-13,EUR,EUR,,+,Buy,"0,708",2023-02-15,4f11411adcdc35db7a88645dd07a763e0c2f54103745a354c33320fb54c5277f
1000,0,c91fd50747cfcf7788177b7a21ac125f2f9423faf5a90674c6f0e22eca12ddad,XS1218289103,40000,2023-03-15,EUR,EUR,0,+,Coupons,40,2023-03-15,82ce3426b262fd50e4d33fd7062bc0ba8b5443db815834db0ac2131e15f542a8
500000,-500,e8a12d1b46a5b3ce1aa8996d5e8aa1a254327fb7dc8ad1679c2ee71ceb321792,USJ57160DY66,"452231,39",2023-03-17,USD,EUR,,+,Buy,"0,90398",2023-03-21,7e78bdb6beecf0913f7bbb380ddeac53f3d93e6ea04270ec56178b1f7da2d4f2
500,0,e8a12d1b46a5b3ce1aa8996d5e8aa1a254327fb7dc8ad1679c2ee71ceb321792,USJ57160DY66,"10862,5",2023-09-19,USD,EUR,0,+,Coupons,"21,725",2023-09-19,a9f41a141c9c63589358a70c37e159ae02620fa865e11732578f85615a41a859
125,"-1111,72",eddc96262501f3cc1f6b26f032bdf19826bdd70cf1553830bf487bc73c97eff0,HERMESINTERNATIONALEUR,"248160,32",2023-05-17,EUR,EUR,,+,Buy,"1976,3888",2023-05-17,d8ff56da3b9a946ea544119af149cee17390bc80dd95a9af1433fc50b06d4c24
1100,0,36b0af7ac98c1b4051f82fa2c5de73fe0176dd200c3e93501eb3fffe11434ede,US5801351017,"948,02",2023-06-20,USD,EUR,"-723,98",+,Dividends,"1,52",2023-06-20,69ac22ba48d9f65a76459e62d756c69e603252654b21ee3ed2c96531012a405e
550,"-239,13",36b0af7ac98c1b4051f82fa2c5de73fe0176dd200c3e93501eb3fffe11434ede,US5801351017,"159662,13",2023-06-06,USD,EUR,,+,Buy,"289,86",2023-06-06,e9d48167ba98ea87668bee563e8c3a5961e89501e53becef1b6d855db5bc877c
1100,"-487,61",36b0af7ac98c1b4051f82fa2c5de73fe0176dd200c3e93501eb3fffe11434ede,US5801351017,"325559,61",2023-05-18,USD,EUR,,+,Buy,"295,52",2023-05-18,f0130db84f2fa1863ecf5a07d18258e34c830e082c4f192b7cc526faa84f3b0d
1650,0,36b0af7ac98c1b4051f82fa2c5de73fe0176dd200c3e93501eb3fffe11434ede,US5801351017,"1726,76",2023-09-18,USD,EUR,"-781,24",+,Dividends,"1,52",2023-09-18,a2a77e6adcc2d56a5495a7a1fe6c41ce96b8c3f8e04a6127ffe3dc7cf00d7f5a
7750,"-814,39",0dd1ba4c012da79f067956f7185114181a6fc652989ccf4d3bf6836d9b000e09,LU0380865021,"543738,54",2023-06-06,EUR,EUR,,+,ETF - Buy,"70,0547290323",2023-06-06,a1f7c088de7ed2b7c65f35270d005fef9b828b458a45670ba82daa55b8135724
7500,"-787,21",0dd1ba4c012da79f067956f7185114181a6fc652989ccf4d3bf6836d9b000e09,LU0380865021,"525596,36",2023-05-31,EUR,EUR,,+,ETF - Buy,"69,9745533333",2023-05-31,039f704e8bb21868fd7f80c3012bfb3a55d474975f3a91c87d8a0609cd66f670
210,"-4331,25",bcca885f32681ed9da0a4592683c5c56976e232f1d15ebe4d53bdd33457143a3,APMOLLER-MAERSKA.SDKK,"2891831,25",2023-07-18,DKK,EUR,,+,Buy,13750,2023-07-18,7d9bbd7580e5a5f1f01d681501dc19f836881038d84a148be662d50cf39f9c3d
"12047,74",,6d24a1099a97de7df6190821ce844bb7a8ea8da42db946178337f06ea9bb8d04,,,2023-03-28,,,,,Other,0,2023-03-28,d9fe3882094796241f38158b5d4666af7e32f7fc26d5256dbceab7eaa59cb4d4
"1163526,89",,6d24a1099a97de7df6190821ce844bb7a8ea8da42db946178337f06ea9bb8d04,,,2023-05-23,,,,,Receipt on account of sale of financial assets,0,2023-05-23,b7c094ebe959f1d6d537b60985a113f61387b3c909fa79b321940698a543667e
"2891831,25",,6d24a1099a97de7df6190821ce844bb7a8ea8da42db946178337f06ea9bb8d04,,,2023-07-21,,,,,Debit to account for purchase of financial assets,0,2023-07-21,e50e232553c8382c1ab1819673bfa73e3c9efd58832af0fccd8cee5153c8c066
"5321,7",,6d24a1099a97de7df6190821ce844bb7a8ea8da42db946178337f06ea9bb8d04,,,2023-08-22,,,,,Other,0,2023-08-22,36466940ac30a6527956f8e2930d68c6093f4246983e371e1f3dafb38548c362
"223,62",,6d24a1099a97de7df6190821ce844bb7a8ea8da42db946178337f06ea9bb8d04,,,2023-09-18,,,,,"Deposit of dividends, coupons and other",0,2023-09-15,42245faad4df437496f51228a16378d26c82dec515963bdda754b83eb4e487cd
"0,6",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-26,,,,,Payment of commissions,0,2022-10-26,02333729206b7a14e4da8d1f8aae1f921a7114ba8313a60ef2108ed449ea67cd
"6973,15",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-26,,,,,Transfers,0,2022-10-26,c33d690a9871d63183ade513c3bd9aa77d82dedc7e82d7e5b560872a8e5e224e
"2493278,25",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-20,,,,,Debit to account for purchase of financial assets,0,2022-10-20,40e75657acdc85de7753db0f5600399d5a5546535375f488dc65d0271b9dec83
"280,72",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-26,,,,,Receipt,0,2022-10-26,c5f3309a62f628f513a4ff2458f6093b5f560629eb07bd7f6875c166b03fb15b
"7184,6",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-02,,,,,Credit memo,0,2022-11-02,6f3e57b5683c077747af9cbfd4e91a38a1a274f716ba0949d55b3d73355f8c36
"159440,07",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-20,,,,,Other,0,2022-10-20,07c55973ca6e58217a79054f31e0ea4e060a205bf673a32feb78cd4487fec505
"17,65",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-18,,,,,Other,0,2022-10-18,eeb453ea3a335db9f286b4dfbdf066f75bfb366f856aa55fa0b7dc6394fda710
"1512,5",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-19,,,,,Transfers,0,2022-10-19,8463093e66eeaa2931ab11ed5d4d4390ce9e97a99ef3b698b4d6c99c17db119a
"1562,64",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-31,,,,,Receipt,0,2022-10-31,426b90d9e69334f3aa19e048d292a40ddd4efd8642416ca0f6b6b520ddf7a8e6
50000,,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-26,,,,,Transfers,0,2022-10-26,0866c1b442bfb7ec55dc9831e63bfeaa95d649dafcc6e9ba8963c9f879c35296
"38,5",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-17,,,,,Receipt,0,2022-10-17,b655ba41aafe1cea0866e03cbce2ecd55272791f1da000e4e09e64d2d38d4042
"8299,04",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-20,,,,,Retention,0,2022-10-20,f3baa0456000e54122640e10ad5bbc60a722a88302af1c9829dbf4aaa8ffabe0
"19268,36",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-10-20,,,,,Transfers,0,2022-10-20,f901b2f2b29e1ffb57f69718e90de5af5d61ed346686cca81f03e4d1b3e1c06e
"413,98",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-03,,,,,Transfers,0,2022-11-03,9b38205e14f585113eb86ce737e85af5035efa9c87101b9e596df7cc31deef16
6050,,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-09,,,,,Transfers,0,2022-11-09,d730cae576cdcf057cc303970e9aa97d216bbd5296f64062047c62b618add74f
"1588,44",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-16,,,,,Other,0,2022-11-16,0211f6f5228862cc335da1651a23f9c15e1d5fdc72635e44ff850ca106349ece
"1417,32",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-18,,,,,Transfers,0,2022-11-18,9988b6e3c62899e21f69d727dc04838115989176b1b9c9ab97a3d97395edb086
"6972,65",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-25,,,,,Transfers,0,2022-11-25,b2828f495ef51bb93e5ca34b9c414886e1748382a6bb650cff232cd48f1ec0bb
"0,6",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-25,,,,,Payment of commissions,0,2022-11-25,0ce11b1376dae9b3c30f0b01e2fdf1dedad0bcecc25915ab982b7fdbfde8203c
"280,72",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-28,,,,,Receipt,0,2022-11-28,a7232a5c50f3631a90a025bb239cdc2e82c9ffd0bc3aa1a58dfff18f2456a7fb
"10610,71",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-28,,,,,Transfers,0,2022-11-28,54fee397fb987c649809195696d69b38b0705b6e81fe0cea40faa7b0e1ddf8bd
"1562,64",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-11-30,,,,,Receipt,0,2022-11-30,68a97032c521790bd24ddf5025f1df6d6becec17d8920af8ea0da4c6f7b39a94
199339,,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-01,,,,,Taxes,0,2022-12-01,daca7b7be9c56950ca1e34a4be5e5e6d624847e8d997779903eb14a6e910c83e
"327,14",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-07,,,,,Receipt,0,2022-12-07,818dcfda835d00513820d2c507a9c9c25a11852850186c48ad55c519c02ef6f1
"3189,37",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-07,,,,,Other,0,2022-12-07,88d237b6f7be627b26141270e9e06e14ffbf3cfb929e4c66a7558e3573b06e1d
"912,29",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-13,,,,,Transfers,0,2022-12-13,11e91222a3ceed339e74a5b4d3cae1aea218323453462a18dc59d90cd21c3e3a
"0,3",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-13,,,,,Payment of commissions,0,2022-12-13,190e019db6a933916de397d01ffa8290759b7bebcb1543e9e5858c7242d1005a
"255,11",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-16,,,,,Other,0,2022-12-16,dbbea127ab4ed41df89344338463dc95528008156e9c25c8ceaaf6a7f4400fe6
5250,,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-23,,,,,"Deposit of dividends, coupons and other",0,2022-12-23,341568023fb6a11469a28752fca7d8cbccbb9fc9dd01a405662b8b0804feafae
"6972,65",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-27,,,,,Transfers,0,2022-12-27,654c9239759ec4c22468540010c57410250e2e00114ac783a670da2971fd51c5
"0,6",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-27,,,,,Payment of commissions,0,2022-12-27,0f5ebf323ecd879f8ad7ec0e1c783517080c00a7b6d87033b4bd415e4e697fb1
"2800,65",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-29,,,,,Transfers,0,2022-12-29,da7e7237d39cdc6c72c5770140f0e705083304a0f6d4488df60926f074eac687
"431,97",,e0cda8a2ee1e44581f6b6f13490023e00b526cdb0af070a5e1e8c00e0ab7494b,,,2022-12-28,,,,,Receipt,0,2022-12-28,5fd64198c22ac8eb29f11920b3e667a87dc2adbf98269657cfcfeba39270d75e
